どどざん,,,1,名詞,一般,*,*,*,*,*,*,*
こだいさん,,,1,名詞,一般,*,*,*,*,*,*,*
はちようざん,,,1,名詞,一般,*,*,*,*,*,*,*
こうふくざん,,,1,名詞,一般,*,*,*,*,*,*,*
もとおざん,,,1,名詞,一般,*,*,*,*,*,*,*
とっこうざん,,,1,名詞,一般,*,*,*,*,*,*,*
ふじいざん,,,1,名詞,一般,*,*,*,*,*,*,*
さだざん,,,1,名詞,一般,*,*,*,*,*,*,*
しゃっきざん,,,1,名詞,一般,*,*,*,*,*,*,*
へいじょうざん,,,1,名詞,一般,*,*,*,*,*,*,*
いなりざん,,,1,名詞,一般,*,*,*,*,*,*,*
いっかざん,,,1,名詞,一般,*,*,*,*,*,*,*
げんこうざん,,,1,名詞,一般,*,*,*,*,*,*,*
すごうざん,,,1,名詞,一般,*,*,*,*,*,*,*
かいがんざん,,,1,名詞,一般,*,*,*,*,*,*,*
くまのざん,,,1,名詞,一般,*,*,*,*,*,*,*
せいりゅうざん,,,1,名詞,一般,*,*,*,*,*,*,*
さいりんざん,,,1,名詞,一般,*,*,*,*,*,*,*
ひがしやま,,,1,名詞,一般,*,*,*,*,*,*,*
りゅううんざん,,,1,名詞,一般,*,*,*,*,*,*,*
すがざん,,,1,名詞,一般,*,*,*,*,*,*,*
ちかみざん,,,1,名詞,一般,*,*,*,*,*,*,*
べっくさん,,,1,名詞,一般,*,*,*,*,*,*,*
きんりんざん,,,1,名詞,一般,*,*,*,*,*,*,*
ふとうざん,,,1,名詞,一般,*,*,*,*,*,*,*
されいざん,,,1,名詞,一般,*,*,*,*,*,*,*
こんこうざん,,,1,名詞,一般,*,*,*,*,*,*,*
いしづちざん,,,1,名詞,一般,*,*,*,*,*,*,*
せんだんざん,,,1,名詞,一般,*,*,*,*,*,*,*
てんようざん,,,1,名詞,一般,*,*,*,*,*,*,*
みっきょうざん,,,1,名詞,一般,*,*,*,*,*,*,*
ゆれいざん,,,1,名詞,一般,*,*,*,*,*,*,*
きょごうざん,,,1,名詞,一般,*,*,*,*,*,*,*
こまつおざん,,,1,名詞,一般,*,*,*,*,*,*,*
ことひきざん,,,1,名詞,一般,*,*,*,*,*,*,*
しっぽうざん,,,1,名詞,一般,*,*,*,*,*,*,*
けんござん,,,1,名詞,一般,*,*,*,*,*,*,*
がはいしざん,,,1,名詞,一般,*,*,*,*,*,*,*
ごがくざん,,,1,名詞,一般,*,*,*,*,*,*,*
けいそくざん,,,1,名詞,一般,*,*,*,*,*,*,*
そうたざん,,,1,名詞,一般,*,*,*,*,*,*,*
ぶっこうざん,,,1,名詞,一般,*,*,*,*,*,*,*
きんかざん,,,1,名詞,一般,*,*,*,*,*,*,*
はくぎゅうざん,,,1,名詞,一般,*,*,*,*,*,*,*
りょうしょうざん,,,1,名詞,一般,*,*,*,*,*,*,*
あおみねざん,,,1,名詞,一般,*,*,*,*,*,*,*
しんごうざん,,,1,名詞,一般,*,*,*,*,*,*,*
なんめんざん,,,1,名詞,一般,*,*,*,*,*,*,*
ごけんざん,,,1,名詞,一般,*,*,*,*,*,*,*
ふだらくざん,,,1,名詞,一般,*,*,*,*,*,*,*
寺号の読み,,,1,名詞,一般,*,*,*,*,*,*,*
りょうぜんじ,,,1,名詞,一般,*,*,*,*,*,*,*
ごくらくじ,,,1,名詞,一般,*,*,*,*,*,*,*
こんせんじ,,,1,名詞,一般,*,*,*,*,*,*,*
だいにちじ,,,1,名詞,一般,*,*,*,*,*,*,*
じぞうじ,,,1,名詞,一般,*,*,*,*,*,*,*
あんらくじ,,,1,名詞,一般,*,*,*,*,*,*,*
じゅうらくじ,,,1,名詞,一般,*,*,*,*,*,*,*
くまだにじ,,,1,名詞,一般,*,*,*,*,*,*,*
ほうりんじ,,,1,名詞,一般,*,*,*,*,*,*,*
きりはたじ,,,1,名詞,一般,*,*,*,*,*,*,*
ふじいでら,,,1,名詞,一般,*,*,*,*,*,*,*
しょうさんじ,,,1,名詞,一般,*,*,*,*,*,*,*
じょうらくじ,,,1,名詞,一般,*,*,*,*,*,*,*
こくぶんじ,,,1,名詞,一般,*,*,*,*,*,*,*
かんおんじ,,,1,名詞,一般,*,*,*,*,*,*,*
いどじ,,,1,名詞,一般,*,*,*,*,*,*,*
おんざんじ,,,1,名詞,一般,*,*,*,*,*,*,*
たつえじ,,,1,名詞,一般,*,*,*,*,*,*,*
かくりんじ,,,1,名詞,一般,*,*,*,*,*,*,*
たいりゅうじ,,,1,名詞,一般,*,*,*,*,*,*,*
びょうどうじ,,,1,名詞,一般,*,*,*,*,*,*,*
やくおうじ,,,1,名詞,一般,*,*,*,*,*,*,*
ほつみさきじ,,,1,名詞,一般,*,*,*,*,*,*,*
しんしょうじ,,,1,名詞,一般,*,*,*,*,*,*,*
こんごうちょうじ,,,1,名詞,一般,*,*,*,*,*,*,*
こうのみねじ,,,1,名詞,一般,*,*,*,*,*,*,*
ぜんらくじ,,,1,名詞,一般,*,*,*,*,*,*,*
ちくりんじ,,,1,名詞,一般,*,*,*,*,*,*,*
ぜんじぶじ,,,1,名詞,一般,*,*,*,*,*,*,*
せっけいじ,,,1,名詞,一般,*,*,*,*,*,*,*
たねまじ,,,1,名詞,一般,*,*,*,*,*,*,*
きよたきじ,,,1,名詞,一般,*,*,*,*,*,*,*
しょうりゅうじ,,,1,名詞,一般,*,*,*,*,*,*,*
いわもとじ,,,1,名詞,一般,*,*,*,*,*,*,*
こんごうふくじ,,,1,名詞,一般,*,*,*,*,*,*,*
えんこうじ,,,1,名詞,一般,*,*,*,*,*,*,*
かんじざいじ,,,1,名詞,一般,*,*,*,*,*,*,*
竜光寺,,,1,名詞,一般,*,*,*,*,*,*,*
りゅうこうじ,,,1,名詞,一般,*,*,*,*,*,*,*
ぶつもくじ,,,1,名詞,一般,*,*,*,*,*,*,*
めいせきじ,,,1,名詞,一般,*,*,*,*,*,*,*
だいほうじ,,,1,名詞,一般,*,*,*,*,*,*,*
いわやじ,,,1,名詞,一般,*,*,*,*,*,*,*
じょうるりじ,,,1,名詞,一般,*,*,*,*,*,*,*
やさかじ,,,1,名詞,一般,*,*,*,*,*,*,*
さいりんじ,,,1,名詞,一般,*,*,*,*,*,*,*
じょうどじ,,,1,名詞,一般,*,*,*,*,*,*,*
はんたじ,,,1,名詞,一般,*,*,*,*,*,*,*
いしてじ,,,1,名詞,一般,*,*,*,*,*,*,*
たいざんじ,,,1,名詞,一般,*,*,*,*,*,*,*
えんみょうじ,,,1,名詞,一般,*,*,*,*,*,*,*
